director_id,name
1141,Dean Craig
1142,Dean DeBlois
1143,Dean Parisot
1144,Dean Wellins
1145,Dean Wright
1146,Deane Taylor
1147,Debaloy Dey
1148,Debamitra Biswal
1149,Debbie Allen
1150,Deborah Kaplan
1151,Debra Granik
1152,Dee Rees
1153,Deep Joshi
1154,Deepa Mehta
1155,Deepika Narayan Bhardwaj
1156,Deepti Kakkar
1157,Deepti Naval
1158,Dejan Zečević
1159,Delhiprasad Deenadayalan
1160,Demetri Martin
1161,Denis Do
1162,Denis Hennelly
1163,Denis Villeneuve
1164,Deniz Gamze Ergüven
1165,Dennie Gordon
1166,Dennis Bartok
1167,Dennis Dugan
1168,Dennis Iliadis
1169,Dennis Rovira van Boekholt
1170,Dennis Scholl
1171,Dennis Widmyer
1172,Denny Lu
1173,Derek Cianfrance
1174,Derek Hui
1175,Derek Peck
1176,Derek Yee
1177,Derick Cabrido
1178,Desingh Periyasamy
1179,Destin Daniel Cretton
1180,Detlev Buck
1181,Devaki Singh
1182,Devashish Makhija
1183,Devika Bhagat
1184,Devin Chanda
1185,Dhanush
1186,Dharmendra Suresh Desai
1187,Dharmesh Darshan
1188,Dheeraj Berry
1189,Dhilip Kumar
1190,Dhruv Dhawan
1191,Dian Sastrowardoyo
1192,Dianne Dreyer
1193,Dibakar Banerjee
1194,Diego Cohen
1195,Diego Corsini
1196,Diego Enrique Osorno
1197,Diego Kaplan
1198,Diego Lerman
1199,Diego Luna
1200,Diego Pignataro
1201,Digo Ricio
1202,Dileep Narayanan
1203,Dilip Mehta
1204,Dimitri Logothetis
1205,Ding Sheng
1206,Ding-Lin Wang
1207,Dino Risi
1208,Dirk Laabs
1209,Dito Montiel
1210,Doesjka van Hoogdalem
1211,Dolapo Adeleke
1212,Domenico de Feudis
1213,Dominic Sena
1214,Don Argott
1215,Don Bluth
1216,Don Hardy Jr.
1217,Don Mancini
1218,Don Michael Paul
1219,Don Omope
1220,Donald Petrie
1221,Donick Cary
1222,Donovan Marsh
1223,Dorian Fernández-Moris
1224,Doron Paz
1225,Doug Hamilton
1226,Doug Lefler
1227,Doug McHenry
1228,Douglas Attal
1229,Douglas McGrath
1230,Drake Doremus
1231,Drea Cooper
1232,Drew Casson
1233,Drew Heriot
